name	cuisines	rank	nreviews	address	phone	website	score	food	service	value	new_address	location	point
La Americana	Apto para vegetarianos	#245 de 5.004 	1.283	Av. Callao 83 Bartolome Mitre, Buenos Aires C1022AAA Argentina	4371-0202	http://www.pizzerialaamericana.com.ar/	4.0	4.0	4.0	4.0	Callao 83, CABA, Argentina	Callao, Avenida Callao, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, C1022AAG, Argentina	(-34.6012202, -58.3928377, 0.0)
El Imperio de la Pizza	Almuerzo, Cena, Abierto hasta tarde	#247 de 5.004 	341.0	Avenida Corrientes 6895 Corrientes-FedericoLacroze, Buenos Aires C1427BPG Argentina	+54 11 4553-0875		4.0	4.0	3.5	4.0	Corrientes 6895, CABA, Argentina	Corrientes, Avenida Pueyrredón, Once, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, C1046AAS, Argentina	(-34.6041224, -58.4053431, 0.0)
Pedro Telmo	Almuerzo, Cena, Abierto hasta tarde	#280 de 5.004 	153.0	Calle Bolivar 962 San Telmo, Buenos Aires Argentina	43623694		4.5	4.5	4.5	4.5	Bolivar 962, CABA, Argentina	Pedro Telmo, 962, Bolívar, San Telmo, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1066AAR, Argentina	(-34.6194075, -58.3728805, 0.0)
La Glorieta de Quique	Almuerzo	#296 de 5.004 	101.0	Brandsen 810, La Boca Ciudad Autónoma de Buenos Aires, Buenos Aires Argentina	+54 11 4301-6470	http://www.facebook.com/pages/La-Glorieta-de-Quique/163162093846525	4.5	4.5	4.0	4.5	Brandsen 810, CABA, Argentina	810, Brandsen, La Boca, Buenos Aires, Comuna 4, Ciudad Autónoma de Buenos Aires, C1161AAQ, Argentina	(-34.636835, -58.36476416666667, 0.0)
Cervantes II	Almuerzo, Cena, Abierto hasta tarde	#325 de 5.004 	264.0	Perón 1883 entre Callao y Riobamba, Buenos Aires Argentina	+54 11 4372-5227		4.0	4.0	3.5	4.5	Perón 1883, CABA, Argentina	Teniente General Juan Domingo Perón, Microcentro, San Nicolás, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1038AAJ, Argentina	(-34.6056273, -58.3737211, 0.0)
Kentucky	Apto para vegetarianos	#332 de 5.004 	1.021	Avenida Corrientes 956 Frente al Obelisco, Buenos Aires C1043AAJ Argentina	+54 11 4328-1928	http://www.kentucky.com.ar/	4.0	4.0	4.0	4.0	Corrientes 956, CABA, Argentina	Corrientes, Avenida Pueyrredón, Once, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, C1046AAS, Argentina	(-34.6041224, -58.4053431, 0.0)
Pizzeria Genova	Almuerzo, Cena, Abierto hasta tarde	#350 de 5.004 	247.0	Avenida Corrientes 872, Buenos Aires C1043AAV Argentina	+54 11 6079-5763	http://www.facebook.com/pages/Genova-Pizzeria-Av-Corrientes/523082674421747	4.0	4.5	4.0	4.0	Corrientes 872, CABA, Argentina	Corrientes, Avenida Pueyrredón, Once, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, C1046AAS, Argentina	(-34.6041224, -58.4053431, 0.0)
Cafe Ditali	Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde	#355 de 5.004 	298.0	Paraguay 701 Intersection with Paraguay street, Buenos Aires Argentina	+54 11 4311-1972		4.0	4.0	4.0	4.0	Paraguay 701, CABA, Argentina	Ditali, 701, Paraguay, Microcentro, Retiro, Buenos Aires, Ciudad Autónoma de Buenos Aires, 1006, Argentina	(-34.5975317, -58.3769939, 0.0)
180 Burger Bar	Almuerzo, Cena	#362 de 5.004 	105.0	Suipacha 749, Ciudad Autonoma de Buenos Aires, Buenos Aires Argentina	43287189	https://www.facebook.com/180burgerbar	4.5	4.5	4.0	4.5	Suipacha 749, CABA, Argentina	180 Burger Bar, 749, Suipacha, Microcentro, San Nicolás, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1054AAH, Argentina	(-34.5994536, -58.3796363, 0.0)
Club Eros	Almuerzo, Cena, Abierto hasta tarde	#382 de 5.004 	271.0	Uriarte 1609 Palermo Soho, Buenos Aires Argentina	+54 11 4832-1313		4.0	4.0	3.5	4.0	Uriarte 1609, CABA, Argentina	Club Eros, 1609, Uriarte, Palermo Soho, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, C1414DAG, Argentina	(-34.5873803, -58.4318255, 0.0)
Nuestra Parrilla	Almuerzo, Cena	#402 de 5.004 	102.0	Carlos Calvo 471 San Telmo, Buenos Aires Argentina	+54 11 4832-1313	http://www.facebook.com/NuestraParrilla	4.5	4.5	4.0	4.5	Carlos Calvo 471, CABA, Argentina	471, Carlos Calvo, San Telmo, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1065AAR, Argentina	(-34.61952442857143, -58.3724803, 0.0)
La Cresta	Apto para vegetarianos	#405 de 5.004 	149.0	Bulnes 829 Almagro, Buenos Aires Argentina	+54 11 4977-3731	https://www.facebook.com/LaCrestaBuenosAires	4.5	4.5	4.0	4.5	Bulnes 829, CABA, Argentina	829, Bulnes, Almagro, Buenos Aires, Comuna 5, Ciudad Autónoma de Buenos Aires, 1176, Argentina	(-34.60184365714286, -58.41777725714285, 0.0)
El Buen Libro	Apto para vegetarianos	#413 de 5.004 	65.0	Reconquista 631, Buenos Aires 1004 Argentina	+54 11 4977-3731	https://www.facebook.com/El-Buen-Libro-Oficial--724463247650576	4.5	4.5	4.0	4.5	Reconquista 631, CABA, Argentina	El buen libro, 631, Reconquista, Microcentro, San Nicolás, Buenos Aires, Ciudad Autónoma de Buenos Aires, 1003, Argentina	(-34.6004331, -58.3725298, 0.0)
El Bodegon de Villa Luro	Almuerzo, Cena, Abierto hasta tarde	#435 de 5.004 	140.0	Rivadavia, Av. 9800, Buenos Aires Argentina	4683-1359		4.0	4.0	3.5	4.0	Rivadavia, 9800, CABA, Argentina	Rivadavia, Vedia, Núñez, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1429DXC, Argentina	(-34.5366131, -58.4680033, 0.0)
La Fabrica Del Taco	Mexicana, Latina	#463 de 5.004 	596.0	Calle Jose Ignacio Gorriti 5062, Buenos Aires C1414BJR Argentina	+54 11 4838-0815	http://lafabricadeltaco.com/	4.0	4.0	4.0	3.5	Jose Ignacio Gorriti 5062, CABA, Argentina		
Bellagamba	Almuerzo, Cena, Abierto hasta tarde, Bebidas	#465 de 5.004 	301.0	Avenida Rivadavia 2134, Buenos Aires C1034ACN Argentina	+49 5158 33		4.0	4.0	3.5	4.5	Rivadavia 2134, CABA, Argentina	Rivadavia, Vedia, Núñez, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1429DXC, Argentina	(-34.5366131, -58.4680033, 0.0)
Extrawurst Bratwurst Argentina	Almuerzo, Cena	#482 de 5.004 	79.0	Solís 1699, Buenos Aires C1134ADI Argentina	+54 11 6755-6575	http://www.bratwurst-argentina.com/	4.5	4.5	4.5	4.5	Solís 1699, CABA, Argentina	1699, Solís, Constitución, Buenos Aires, Ciudad Autónoma de Buenos Aires, 1134, Argentina	(-34.6279768, -58.3894705, 0.0)
The Market Burger	Estadounidense, Comida rápida	#485 de 5.004 	72.0	Calle Carlos Calvo 455 Locales 19 & 20, Buenos Aires C1102AAI Argentina	+54 9 11 3933-5151	http://www.facebook.com/themarketburger/?fref=ts	4.5	4.5	4.0	4.0	Carlos Calvo 455, CABA, Argentina	Merci, 455, Carlos Calvo, San Telmo, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1065AAR, Argentina	(-34.619495, -58.3724483, 0.0)
Burger Mood	Apto para vegetarianos	#486 de 5.004 	88.0	Calle Viamonte 359 Microcentro, Buenos Aires C1053ABG Argentina	+54 11 4516-0221	http://www.burgermood.com.ar/	4.5	4.5	4.0	4.0	Viamonte 359, CABA, Argentina	359, Viamonte, Microcentro, San Nicolás, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1043AAA, Argentina	(-34.599502110204085, -58.37213782040816, 0.0)
Desarmadero Bar	Bar, Pub, Argentina, Sudamericana	#489 de 5.004 	106.0	Calle Jose Ignacio Gorriti 4295, Buenos Aires C1414BJA Argentina	+54 11 4516-0221	https://www.facebook.com/desarmaderobar/	4.5	4.5	4.0	4.0	Jose Ignacio Gorriti 4295, CABA, Argentina		
Heisenburger Lab	Almuerzo, Cena	#490 de 5.004 	382.0	Calle Jose Ignacio Gorriti 5054, Buenos Aires C1414BJR Argentina	48319156	https://www.facebook.com/heisenburgersoho	4.0	4.0	3.5	4.0	Jose Ignacio Gorriti 5054, CABA, Argentina		
Latino Sandwich	Apto para vegetarianos	#497 de 5.004 	96.0	Tacuari 185, Buenos Aires Argentina	4331-0022/0859	http://www.latinosandwich.com/	4.5	4.0	4.0	4.0	Tacuari 185, CABA, Argentina	185, Tacuarí, Monserrat, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1091AAQ, Argentina	(-34.61041604285714, -58.379194014285716, 0.0)
Cafe Blue's	Café	#505 de 5.004 	60.0	Arenales 2932 Entre Agüero y Austria, Buenos Aires 1624 Argentina	+54 11 2088-6497	https://www.facebook.com/Cafe-Blues-1246151042096959/about/?entry_point=page_nav_about_item	4.5	4.5	4.5	4.5	Arenales 2932, CABA, Argentina	Jobs Bar, 2932, Arenales, Barrio Norte, Recoleta, Buenos Aires, Comuna 2, Ciudad Autónoma de Buenos Aires, C1425BGG, Argentina	(-34.5906587, -58.4065483, 0.0)
Surry Hills Coffee	Opciones veganas	#37 de 438 casas de café y té en Buenos Aires	28.0	Calle Jorge Luis Borges 1842, Buenos Aires C1414DGF Argentina	+54 11 2088-6497	https://www.facebook.com/surryhillscoffee/	5.0	5.0	5.0	5.0	Jorge Luis Borges 1842, CABA, Argentina	Surry Hills Coffee, 1842, Jorge Luis Borges, Palermo Soho, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, C1425BXH, Argentina	(-34.5870598, -58.4277042, 0.0)
El Boliche de Nico	Almuerzo, Cena	#543 de 5.004 	156.0	Avenida de Los Incas 4287 Esquina Mariano Acha, Buenos Aires C1427DNH Argentina	+54 11 4554-7018	http://elbolichedenico.com.ar/	4.0	4.0	4.0	4.5	de Los Incas 4287, CABA, Argentina	Los Incas - Parque Chas, Avenida Triunvirato, Villa Ortúzar, Buenos Aires, Comuna 15, Ciudad Autónoma de Buenos Aires, C1431FBB, Argentina	(-34.5812088, -58.4743442, 0.0)
Don Niceto	Almuerzo, Cena	#546 de 5.004 	67.0	Avenida Coronel Niceto Vega 5255, Buenos Aires Argentina	+54 11 4777-8534		4.5	4.5	4.0	5.0	Coronel Niceto Vega 5255, CABA, Argentina	Don Niceto, 5255, Coronel Niceto Vega, Palermo Soho, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, 1000, Argentina	(-34.5891453, -58.4357206, 0.0)
Trade Skybar	Bar, Contemporánea, Pub, Bar de vinos	#572 de 5.004 	111.0	Avenida Corrientes 222 Piso 19 Edificio Comega, Buenos Aires C1043AAP Argentina	+54 11 4777-8534	http://www.tradeskybar.com/	4.0	3.5	4.0	3.5	Corrientes 222, CABA, Argentina	Corrientes, Avenida Pueyrredón, Once, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, C1046AAS, Argentina	(-34.6041224, -58.4053431, 0.0)
Camping	Apto para vegetarianos	#592 de 5.004 	134.0	Avenue Pueyrredon 2501, Buenos Aires 1114 Argentina	+54 11 4777-8534	http://www.campingba.com/	4.0	4.0	3.5	4.0	Avenue Pueyrredon 2501, CABA, Argentina	Starbucks, 2501, Avenida Pueyrredón, La Isla, Recoleta, Buenos Aires, Comuna 2, Ciudad Autónoma de Buenos Aires, 1119, Argentina	(-34.5859655, -58.3915493, 0.0)
Parrilla Don Hugo	Almuerzo, Cena, Bebidas	#614 de 5.004 	96.0	Calle Virrey Loreto 3499, Buenos Aires C1426DYM Argentina	+54 11 4554-4329		4.0	4.5	4.0	4.5	Virrey Loreto 3499, CABA, Argentina	3499, Virrey Loreto, Colegiales, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1426ELR, Argentina	(-34.577025, -58.457531, 0.0)
La Cocina de Batata's	Almuerzo, Cena	#627 de 5.004 	47.0	Av Gaona 4438, Buenos Aires C1407FIT Argentina	4636-3432		4.5	4.5	4.5	4.5	Av Gaona 4438, CABA, Argentina	Batata's, 4438, Avenida Gaona, Floresta, Buenos Aires, Comuna 10, Ciudad Autónoma de Buenos Aires, C1407FAQ, Argentina	(-34.6258117, -58.4859436, 0.0)
Pirilo Pizzeria	Pizzería, Argentina, Sudamericana	#649 de 5.004 	147.0	Defensa 821 San Telmo, Buenos Aires Argentina	+54 11 4307-0248	http://pizzatradicional.blogspot.com.ar/p/pirilo.html	4.0	4.0	3.5	4.0	Defensa 821, CABA, Argentina	821, Defensa, San Telmo, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1065AAR, Argentina	(-34.61759065918367, -58.3717122244898, 0.0)
Kentucky	Almuerzo, Cena, Abierto hasta tarde	#650 de 5.004 	303.0	Avenida Corrientes 1502, Buenos Aires C1042AAO Argentina	4781-5720	http://www.pizzeriaskentucky.com/	3.5	3.5	3.5	4.0	Corrientes 1502, CABA, Argentina	Corrientes, Avenida Pueyrredón, Once, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, C1046AAS, Argentina	(-34.6041224, -58.4053431, 0.0)
Green Crow	Cervecería, Argentina, Bar, Comida rápida, Mediterránea, Española, Pub, Sudamericana	#656 de 5.004 	54.0	Mexico 345, Buenos Aires C1097 Argentina	+54 11 5412-6569	http://www.facebook.com/greencrowbar/	4.5	5.0	4.5	4.5	Mexico 345, CABA, Argentina	345, México, Monserrat, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1100AAF, Argentina	(-34.614777873469386, -58.371151348979595, 0.0)
Kentucky Pizzeria Bar	Almuerzo, Cena, Abierto hasta tarde	#667 de 5.004 	1.042	Av. Santa Fé 4602, Buenos Aires C1425BHV Argentina	+54 11 4862-5377	http://www.pizzeriaskentucky.com/	4.0	4.0	3.5	4.0	Santa Fé 4602, CABA, Argentina	Santa Fe, Microcentro, Cinco Esquinas, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina	(-34.59618315, -58.382117600912466, 0.0)
El Barrilete Pizza	Apto para vegetarianos	#674 de 5.004 	42.0	Avenida Carabobo 162, Buenos Aires C1406DGO Argentina	+54 11 4633-3894		4.5	4.5	4.5	4.0	Carabobo 162, CABA, Argentina	Carabobo, Avenida Rivadavia, Flores, Buenos Aires, Comuna 7, Ciudad Autónoma de Buenos Aires, C1406GLT, Argentina	(-34.6264544, -58.4561066, 0.0)
Buona Giunta Trattoria	Argentina, Italiana, Bar, Pizzería, Española	#680 de 5.004 	80.0	Calle Tucuman 581, Buenos Aires C1049AAK Argentina	+54 11 4313-1300		4.5	4.5	4.0	4.5	Tucuman 581, CABA, Argentina	581, Tucumán, Microcentro, San Nicolás, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1043AAA, Argentina	(-34.600999479591835, -58.37496286938776, 0.0)
Alimentari	Apto para vegetarianos, Opciones veganas	#682 de 5.004 	96.0	San Martin 899 Planta Baja, Buenos Aires Argentina	+54 11 4313-1300	http://www.alimentari.com/	4.0	4.5	3.5	4.0	San Martin 899, CABA, Argentina	899, San Martín, Microcentro, Retiro, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1004AAT, Argentina	(-34.5975842, -58.3741959, 0.0)
Guimpi V	Almuerzo, Cena	#686 de 5.004 	79.0	Calle Republica Arabe Siria 3004, Buenos Aires C1425EYL Argentina	+54 11 4806-1617	http://www.facebook.com/pizzeriaguimpiv/	4.5	4.5	4.5	4.5	Republica Arabe Siria 3004, CABA, Argentina	3004, República Árabe Siria, Palermo Botánico, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, C1425EYL, Argentina	(-34.58073249387755, -58.413626875510204, 0.0)
Ugi's Pizza	Cena, Abierto hasta tarde	#694 de 5.004 	128.0	Av Rivadavia 11704 Barrio de Liniers, Buenos Aires 1702 Argentina	114672596		4.0	4.0	3.5	4.5	Av Rivadavia 11704, CABA, Argentina	Avenida Rivadavia, Caballito, Buenos Aires, Comuna 6, Ciudad Autónoma de Buenos Aires, C1424CEF, Argentina	(-34.6185897, -58.4370856, 0.0)
Santa Maria	Apto para vegetarianos	#704 de 5.004 	120.0	Avenida Corrientes 6801, Buenos Aires C1427BPG Argentina	+54 11 4552-3779	http://www.pizzeria-santamaria.com.ar/	4.0	4.0	3.5	3.5	Corrientes 6801, CABA, Argentina	Corrientes, Avenida Pueyrredón, Once, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, C1046AAS, Argentina	(-34.6041224, -58.4053431, 0.0)
Rapa Nui - Devoto	Opciones sin gluten	#61 de 253 postres en Buenos Aires	60.0	Avenida Lincoln 4218, Buenos Aires C1419IFU Argentina	+54 810-888-7272	http://www.rapanuibuenosaires.com.ar/	4.5	4.5	4.0	3.5	Lincoln 4218, CABA, Argentina	4218, Avenida Lincoln, Villa Devoto, Buenos Aires, Comuna 11, Ciudad Autónoma de Buenos Aires, C1419ICG, Argentina	(-34.59922383877551, -58.51428030612245, 0.0)
El Litoral	Almuerzo, Cena	#719 de 5.004 	47.0	Pasco 300, Buenos Aires Argentina	49532438		4.5	4.5	4.0	4.5	Pasco 300, CABA, Argentina	300, Pasco, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, 1090, Argentina	(-34.6129359, -58.3973403, 0.0)
Faraday Bar	Gastropub, Bar	#720 de 5.004 	40.0	Bulnes 2022, Buenos Aires C1425DKJ Argentina	+54 11 4822-1673	http://www.facebook.com/FaradayBA/	4.5	4.5	4.5	4.5	Bulnes 2022, CABA, Argentina	2022, Bulnes, Alto Palermo, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, C1425BGI, Argentina	(-34.58778267755102, -58.41142617755102, 0.0)
Cachita	Bar, Comida rápida, Pub	#729 de 5.004 	38.0	Moldes 3102 Esquina Ibera, Buenos Aires 1428 Argentina	+54 11 4543-1400	http://www.cachita.com.ar/	4.5	4.5	4.5	4.5	Moldes 3102, CABA, Argentina	3102, Moldes, Núñez, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1429AAO, Argentina	(-34.554885, -58.467277, 0.0)
Jobs Bar	Abierto hasta tarde, Bebidas	#762 de 5.004 	167.0	2932 Arenales, Buenos Aires 1425 Argentina	4822 9391	http://www.jobsbar.com.ar/	4.0	3.0	3.5	4.0	2932, CABA, Argentina	Buenos Aires, Comuna 6, Ciudad Autónoma de Buenos Aires, Argentina	(-34.6075682, -58.4370894, 0.0)
Williamsburg Burger Bar - Armenia	Estadounidense, Comida rápida, Parrilla, Saludable, Restaurantes cerveceros	#769 de 5.004 	409.0	Calle Armenia 1532, Buenos Aires C1414DKH Argentina	+54 9 11 2443-0154	http://www.williamsburgba.com/	3.5	4.0	3.5	3.5	Armenia 1532, CABA, Argentina	Williamsburg Burger Bar, 1532, Armenia, Palermo Soho, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, 1414, Argentina	(-34.5903854, -58.4289941, 0.0)
French Cookie	Francesa, Estadounidense, Argentina	#771 de 5.004 	21.0	Calle Honduras 5760, Buenos Aires C1414BNH Argentina	+54 9 11 3259-7650	http://www.frenchcookie.com.ar/	5.0	5.0	5.0	5.0	Honduras 5760, CABA, Argentina	5760, Honduras, Palermo Soho, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, C1414CTP, Argentina	(-34.582939859183675, -58.43795606530612, 0.0)
Madigan	Bar, Comida rápida, Pub, Argentina, Estadounidense, Pizzería, Sudamericana	#776 de 5.004 	35.0	Calle Honduras 5015 Plaza Serrano, Buenos Aires C1414BMQ Argentina	+54 11 4832-0268	http://www.madiganbar.com/	4.5	4.5	4.5	4.5	Honduras 5015, CABA, Argentina	5015, Honduras, Palermo Soho, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, C1414CYN, Argentina	(-34.588458200000005, -58.43044472857142, 0.0)
El Nuevo Castels	Almuerzo, Cena, Abierto hasta tarde	#785 de 5.004 	91.0	Avenida Entre Rios 946, Buenos Aires C1080ABQ Argentina	+54 11 4305-1907	http://www.guiaoleo.com.ar/restaurantes/El-nuevo-Castel-12154	4.0	4.5	4.0	4.5	Entre Rios 946, CABA, Argentina	Entre Ríos - Rodolfo Walsh, Avenida San Juan, Constitución, Buenos Aires, Ciudad Autónoma de Buenos Aires, 1133, Argentina	(-34.6227394, -58.3914497, 0.0)
Los Orientales	Almuerzo, Cena	#787 de 5.004 	104.0	Avenida Rivadavia 3981, Buenos Aires C1204AAE Argentina	4983-1202	http://antigourmet.com.ar/los-orientales	4.0	4.0	4.0	4.0	Rivadavia 3981, CABA, Argentina	Rivadavia, Vedia, Núñez, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1429DXC, Argentina	(-34.5366131, -58.4680033, 0.0)
Virrey Cocina Urbana	Cervecería, Comida de calle, Argentina, Estadounidense, Bar, Comida rápida, Española, Pub, Sudamericana	#792 de 5.004 	33.0	Calle Carlos Calvo 242, Buenos Aires C1102AAF Argentina	+54 11 4300-2922	http://virrey.com.ar/	5.0	5.0	4.5	5.0	Carlos Calvo 242, CABA, Argentina	242, Carlos Calvo, San Telmo, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1065AAR, Argentina	(-34.61935907346938, -58.3695041, 0.0)
La Esquina Del Antigourmet	Cena	#805 de 5.004 	29.0	Calle Soler 5901 Esq con Dr. Emilio Ravignani, Buenos Aires C1425BYM Argentina	+54 11 4300-2922	https://antigourmet.com.ar/lugar/la-esquina-del-antigourmet/	4.5	4.5	4.5	4.5	Soler 5901, CABA, Argentina	Anti Gourmet, 5901, Soler, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, C1425BIO, Argentina	(-34.5783368, -58.4356829, 0.0)
Fabrica De Churros	Comida para llevar	#810 de 5.004 	35.0	Calle Olleros 4167, Buenos Aires C1427EEM Argentina	+54 11 4553-2669		4.5	4.5	4.0	4.0	Olleros 4167, CABA, Argentina	Olleros, Metrobús Norte, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, 1426, Argentina	(-34.5702528, -58.4443609, 0.0)
Bulls BBQ Smoke House	Bar, Parrillada, Parrilla, Estadounidense, Argentina	#820 de 5.004 	81.0	Costa Rica 4767 Caba, Buenos Aires C1414BSK Argentina	+54 11 4834-6505	http://www.facebook.com/bullsbbq4767/timeline	4.5	4.5	4.0	4.5	Costa Rica 4767, CABA, Argentina	4767, Costa Rica, Palermo Soho, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, C1414DOR, Argentina	(-34.58758230408163, -58.42769628571428, 0.0)
