	name	cuisines	rank	nreviews	address	phone	website	score	food	service	value
18	Cafe Ditali	Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde	#362 de 5.010 restaurantes en Buenos Aires	298 opiniones	Paraguay 701 Intersection with Paraguay street, Buenos Aires Argentina	+54 11 4311-1972	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
19	Club Eros	Almuerzo, Cena, Abierto hasta tarde	#381 de 5.010 restaurantes en Buenos Aires	271 opiniones	Uriarte 1609 Palermo Soho, Buenos Aires Argentina	+54 11 4832-1313	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
20	Nuestra Parrilla	Almuerzo, Cena	#402 de 5.010 restaurantes en Buenos Aires	102 opiniones	Carlos Calvo 471 San Telmo, Buenos Aires Argentina	+54 11 4832-1313	http://www.facebook.com/NuestraParrilla	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
21	La Cresta	Apto para vegetarianos	#406 de 5.010 restaurantes en Buenos Aires	149 opiniones	Bulnes 829 Almagro, Buenos Aires Argentina	+54 11 4977-3731	https://www.facebook.com/LaCrestaBuenosAires	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
22	El Buen Libro	Apto para vegetarianos, Opciones veganas	#409 de 5.010 restaurantes en Buenos Aires	65 opiniones	Reconquista 631, Buenos Aires 1004 Argentina	+54 11 4977-3731	https://www.facebook.com/El-Buen-Libro-Oficial--724463247650576	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
23	El Bodegon de Villa Luro	Almuerzo, Cena, Abierto hasta tarde	#439 de 5.010 restaurantes en Buenos Aires	140 opiniones	Rivadavia, Av. 9800, Buenos Aires Argentina	4683-1359	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
24	La Fabrica Del Taco	Mexicana, Latina	#463 de 5.010 restaurantes en Buenos Aires	595 opiniones	Calle Jose Ignacio Gorriti 5062, Buenos Aires C1414BJR Argentina	+54 11 4838-0815	http://lafabricadeltaco.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35
25	Bellagamba	Almuerzo, Cena, Abierto hasta tarde, Bebidas	#467 de 5.010 restaurantes en Buenos Aires	301 opiniones	Avenida Rivadavia 2134, Buenos Aires C1034ACN Argentina	+49 5158 33	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_45
26	Extrawurst Bratwurst Argentina	Almuerzo, Cena	#484 de 5.010 restaurantes en Buenos Aires	79 opiniones	Solís 1699, Buenos Aires C1134ADI Argentina	+54 11 6755-6575	http://www.bratwurst-argentina.com/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
27	Burger Mood	Apto para vegetarianos	#487 de 5.010 restaurantes en Buenos Aires	88 opiniones	Calle Viamonte 359 Microcentro, Buenos Aires C1053ABG Argentina	+54 11 4516-0221	http://www.burgermood.com.ar/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
28	The Market Burger	Estadounidense, Comida rápida	#488 de 5.010 restaurantes en Buenos Aires	72 opiniones	Calle Carlos Calvo 455 Locales 19 & 20, Buenos Aires C1102AAI Argentina	+54 9 11 3933-5151	http://www.facebook.com/themarketburger/?fref=ts	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
29	Desarmadero Bar	Bar, Pub, Argentina, Sudamericana	#492 de 5.010 restaurantes en Buenos Aires	106 opiniones	Calle Jose Ignacio Gorriti 4295, Buenos Aires C1414BJA Argentina	+54 9 11 3933-5151	https://www.facebook.com/desarmaderobar/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
30	Latino Sandwich	Apto para vegetarianos	#497 de 5.010 restaurantes en Buenos Aires	96 opiniones	Tacuari 185, Buenos Aires Argentina	4331-0022/0859	http://www.latinosandwich.com/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
31	Heisenburger Lab	Almuerzo, Cena	#498 de 5.010 restaurantes en Buenos Aires	382 opiniones	Calle Jose Ignacio Gorriti 5054, Buenos Aires C1414BJR Argentina	48319156	https://www.facebook.com/heisenburgersoho	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
32	Cafe Blue's	Café	#503 de 5.010 restaurantes en Buenos Aires	60 opiniones	Arenales 2932 Entre Agüero y Austria, Buenos Aires 1624 Argentina	+54 11 2088-6497	https://www.facebook.com/Cafe-Blues-1246151042096959/about/?entry_point=page_nav_about_item	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
33	Surry Hills Coffee	Desayuno, Almuerzo, Brunch, Bebidas	#38 de 441 casas de café y té en Buenos Aires	28 opiniones	Calle Jorge Luis Borges 1842, Buenos Aires C1414DGF Argentina	+54 11 2088-6497	https://www.facebook.com/surryhillscoffee/	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50
34	El Boliche de Nico	Almuerzo, Cena	#545 de 5.010 restaurantes en Buenos Aires	156 opiniones	Avenida de Los Incas 4287 Esquina Mariano Acha, Buenos Aires C1427DNH Argentina	+54 11 4554-7018	http://elbolichedenico.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
35	Don Niceto	Almuerzo, Cena	#546 de 5.010 restaurantes en Buenos Aires	67 opiniones	Avenida Coronel Niceto Vega 5255, Buenos Aires Argentina	+54 11 4777-8534	none	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_50
36	Trade Skybar	Bar, Contemporánea, Pub, Bar de vinos	#572 de 5.010 restaurantes en Buenos Aires	111 opiniones	Avenida Corrientes 222 Piso 19 Edificio Comega, Buenos Aires C1043AAP Argentina	+54 11 4777-8534	http://www.tradeskybar.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35
37	Camping	Apto para vegetarianos	#591 de 5.010 restaurantes en Buenos Aires	134 opiniones	Avenue Pueyrredon 2501, Buenos Aires 1114 Argentina	+54 11 4777-8534	http://www.campingba.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
38	Parrilla Don Hugo	Almuerzo, Cena, Bebidas	#616 de 5.010 restaurantes en Buenos Aires	96 opiniones	Calle Virrey Loreto 3499, Buenos Aires C1426DYM Argentina	+54 11 4554-4329	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
39	La Cocina de Batata's	Almuerzo, Cena	#626 de 5.010 restaurantes en Buenos Aires	47 opiniones	Av Gaona 4438, Buenos Aires C1407FIT Argentina	4636-3432	none	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
40	Pirilo Pizzeria	Pizzería, Argentina, Sudamericana	#651 de 5.010 restaurantes en Buenos Aires	147 opiniones	Defensa 821 San Telmo, Buenos Aires Argentina	+54 11 4307-0248	http://pizzatradicional.blogspot.com.ar/p/pirilo.html	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
41	Santa Maria	Apto para vegetarianos	#652 de 5.010 restaurantes en Buenos Aires	118 opiniones	Avenida Corrientes 6801, Buenos Aires C1427BPG Argentina	+54 11 4552-3779	http://www.pizzeria-santamaria.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
42	Green Crow	Pub con cerveza artesanal, Argentina, Bar, Comida rápida, Mediterránea, Española, Pub, Sudamericana	#654 de 5.010 restaurantes en Buenos Aires	54 opiniones	Mexico 345, Buenos Aires C1097 Argentina	+54 11 5412-6569	http://www.facebook.com/greencrowbar/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_50	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
43	Kentucky	Almuerzo, Cena, Abierto hasta tarde	#659 de 5.010 restaurantes en Buenos Aires	303 opiniones	Avenida Corrientes 1502, Buenos Aires C1042AAO Argentina	4781-5720	http://www.pizzeriaskentucky.com/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
44	El Barrilete Pizza	Apto para vegetarianos	#672 de 5.010 restaurantes en Buenos Aires	42 opiniones	Avenida Carabobo 162, Buenos Aires C1406DGO Argentina	+54 11 4633-3894	none	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40
45	Kentucky Pizzeria Bar	Almuerzo, Cena, Abierto hasta tarde	#679 de 5.010 restaurantes en Buenos Aires	1.042 opiniones	Av. Santa Fé 4602, Buenos Aires C1425BHV Argentina	+54 11 4862-5377	http://www.pizzeriaskentucky.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
46	Buona Giunta Trattoria	Argentina, Italiana, Bar, Pizzería, Española	#683 de 5.010 restaurantes en Buenos Aires	80 opiniones	Calle Tucuman 581, Buenos Aires C1049AAK Argentina	+54 11 4313-1300	none	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
47	Alimentari	Apto para vegetarianos, Opciones veganas	#684 de 5.010 restaurantes en Buenos Aires	96 opiniones	San Martin 899 Planta Baja, Buenos Aires Argentina	+54 11 4313-1300	http://www.alimentari.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
48	Ugi's Pizza	Cena, Abierto hasta tarde	#695 de 5.010 restaurantes en Buenos Aires	128 opiniones	Av Rivadavia 11704, Buenos Aires Argentina	114672596	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_45
49	Guimpi V	Almuerzo, Cena	#710 de 5.010 restaurantes en Buenos Aires	78 opiniones	Calle Republica Arabe Siria 3004, Buenos Aires C1425EYL Argentina	+54 11 4806-1617	http://www.facebook.com/pizzeriaguimpiv/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
50	Rapa Nui - Devoto	Opciones sin gluten	#62 de 252 postres en Buenos Aires	60 opiniones	Avenida Lincoln 4218, Buenos Aires C1419IFU Argentina	+54 810-888-7272	http://www.rapanuibuenosaires.com.ar/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35
51	Faraday Bar	Gastropub, Bar	#721 de 5.010 restaurantes en Buenos Aires	40 opiniones	Bulnes 2022, Buenos Aires C1425DKJ Argentina	+54 11 4822-1673	http://www.facebook.com/FaradayBA/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
52	Cachita	Bar, Comida rápida, Pub	#729 de 5.010 restaurantes en Buenos Aires	38 opiniones	Moldes 3102 Esquina Ibera, Buenos Aires 1428 Argentina	+54 11 4543-1400	http://www.cachita.com.ar/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
53	Jobs Bar	Abierto hasta tarde, Bebidas	#761 de 5.010 restaurantes en Buenos Aires	167 opiniones	2932 Arenales, Buenos Aires 1425 Argentina	4822 9391	http://www.jobsbar.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_30	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
54	French Cookie	Francesa, Estadounidense, Argentina	#764 de 5.010 restaurantes en Buenos Aires	21 opiniones	Calle Honduras 5760, Buenos Aires C1414BNH Argentina	+54 9 11 3259-7650	http://www.frenchcookie.com.ar/	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50
55	Madigan	Bar, Comida rápida, Pub, Argentina, Estadounidense, Pizzería, Sudamericana	#772 de 5.010 restaurantes en Buenos Aires	35 opiniones	Calle Honduras 5015 Plaza Serrano, Buenos Aires C1414BMQ Argentina	+54 11 4832-0268	http://www.madiganbar.com/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
56	Burger King Bsas	Desayuno, Almuerzo, Cena, Abierto hasta tarde	#774 de 5.010 restaurantes en Buenos Aires	347 opiniones	Calle Florida esquina corrientes, Buenos Aires Argentina	+54 810-122-5464	http://www.burgerking.com.ar/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
57	Williamsburg Burger Bar - Armenia	Estadounidense, Comida rápida, Parrilla, Saludable, Restaurantes cerveceros	#780 de 5.010 restaurantes en Buenos Aires	409 opiniones	Calle Armenia 1532, Buenos Aires C1414DKH Argentina	+54 9 11 2443-0154	http://www.williamsburgba.com/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
58	El Nuevo Castels	Almuerzo, Cena, Abierto hasta tarde	#787 de 5.010 restaurantes en Buenos Aires	91 opiniones	Avenida Entre Rios 946, Buenos Aires C1080ABQ Argentina	+54 11 4305-1907	http://www.guiaoleo.com.ar/restaurantes/El-nuevo-Castel-12154	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
59	Los Orientales	Almuerzo, Cena	#789 de 5.010 restaurantes en Buenos Aires	104 opiniones	Avenida Rivadavia 3981, Buenos Aires C1204AAE Argentina	4983-1202	http://antigourmet.com.ar/los-orientales	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
60	Virrey Cocina Urbana	Pub con cerveza artesanal, Comida de calle, Argentina, Estadounidense, Bar, Comida rápida, Española, Pub, Sudamericana	#791 de 5.010 restaurantes en Buenos Aires	33 opiniones	Calle Carlos Calvo 242, Buenos Aires C1102AAF Argentina	+54 11 4300-2922	http://virrey.com.ar/	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50	ui_bubble_rating bubble_45	ui_bubble_rating bubble_50
61	La Esquina Del Antigourmet	Cena	#802 de 5.010 restaurantes en Buenos Aires	29 opiniones	Calle Soler 5901 Esq con Dr. Emilio Ravignani, Buenos Aires C1425BYM Argentina	+54 11 4300-2922	https://antigourmet.com.ar/lugar/la-esquina-del-antigourmet/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
62	Fabrica De Churros	Comida para llevar	#807 de 5.010 restaurantes en Buenos Aires	35 opiniones	Calle Olleros 4167, Buenos Aires C1427EEM Argentina	+54 11 4553-2669	none	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
63	Raclette Grilled Cheese & Coffee House	Apto para vegetarianos	#820 de 5.010 restaurantes en Buenos Aires	24 opiniones	Calle Arenales 939 Entre Carlos Pellegrini y Suipacha, Buenos Aires 1061 Argentina	+54 11 4393-9951	none	ui_bubble_rating bubble_50	ui_bubble_rating bubble_45	ui_bubble_rating bubble_50	ui_bubble_rating bubble_45
64	Bulls BBQ Smoke House	Bar, Parrillada, Parrilla, Estadounidense, Argentina	#821 de 5.010 restaurantes en Buenos Aires	81 opiniones	Costa Rica 4767 Caba, Buenos Aires C1414BSK Argentina	+54 11 4834-6505	http://www.facebook.com/bullsbbq4767/timeline	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
65	Bellagamba Bodegón	Apto para vegetarianos	#825 de 5.010 restaurantes en Buenos Aires	154 opiniones	Calle Armenia 1242, Buenos Aires C1414DKB Argentina	4775-9997	https://www.facebook.com/pages/Bellagamba-Bodeg%C3%B3n/546152665445413	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30	ui_bubble_rating bubble_40
66	Costumbres Criollas	Desayuno, Almuerzo, Cena	#828 de 5.010 restaurantes en Buenos Aires	92 opiniones	Calle Libertador, 308 Retiro, Buenos Aires Argentina	+54 11 4393-3202	http://www.costumbrecriollacf.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
67	La Catedral del Tango	Opciones veganas	#829 de 5.010 restaurantes en Buenos Aires	164 opiniones	Sarmiento 4006, Buenos Aires Argentina	+54 11 4393-3202	http://www.lacatedralclub.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_30	ui_bubble_rating bubble_30	ui_bubble_rating bubble_40
68	Hops	Apto para vegetarianos	#834 de 5.010 restaurantes en Buenos Aires	48 opiniones	Calle Pedro Del Castillo 422, Buenos Aires C1414AWJ Argentina	+54 11 4393-3202	https://www.facebook.com/hopscerveza	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
69	Churros El Topo	Comida para llevar	#857 de 5.010 restaurantes en Buenos Aires	43 opiniones	Virrey del Pino 2617 Belgrano, Buenos Aires Argentina	47862188	http://churreriaeltopo.com.ar/sucursales-delivery/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
70	Konu Bar	Apto para vegetarianos, Opciones veganas	#869 de 5.010 restaurantes en Buenos Aires	70 opiniones	Teniente General Juan Domingo Peron 1319, Buenos Aires Argentina	+54 11 4373-4976	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
71	Tiendas Naturales – Puerto Madero	Internacional, Saludable	#904 de 5.010 restaurantes en Buenos Aires	27 opiniones	Olga Cossettini 733, Buenos Aires 1107 Argentina	+54 11 4843-7407	https://www.facebook.com/TiendasNaturales/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40
72	Gran Pizzeria Los Talentos	Almuerzo, Cena, Abierto hasta tarde	#905 de 5.010 restaurantes en Buenos Aires	120 opiniones	Defensa 902, Buenos Aires Argentina	4307-2952	http://pizzerialostalentos.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
73	Gringo-Pancheria	Almuerzo	#915 de 5.010 restaurantes en Buenos Aires	50 opiniones	Calle Lavalle 695, Buenos Aires C1047AAM Argentina	4307-2952	https://www.facebook.com/pages/G-R-I-N-G-O-Pancher%C3%ADa/220115531368745	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
74	La Piedad	Almuerzo	#925 de 5.010 restaurantes en Buenos Aires	51 opiniones	Florida 31, Buenos Aires Argentina	+54 11 4331-1993	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
75	Na Serapia	Almuerzo, Cena	#933 de 5.010 restaurantes en Buenos Aires	113 opiniones	3357 Avenida La Heras, Buenos Aires Argentina	+54 11 4801-5307	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
76	A Gusto Y Piacere	Almuerzo	#940 de 5.010 restaurantes en Buenos Aires	35 opiniones	Tucuman 463, Buenos Aires C1084AAQ Argentina	+54 11 4801-5307	http://www.facebook.com/pages/A-Gusto-y-Piacere/495311003855364	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
77	La Vitola Pizzeria y Cafeteria	Cena	#962 de 5.010 restaurantes en Buenos Aires	68 opiniones	Maipu 607 Esquina Tucuman, Buenos Aires Argentina	43284882	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
78	La Fachada	Apto para vegetarianos	#970 de 5.010 restaurantes en Buenos Aires	54 opiniones	Araoz 1283, Buenos Aires 1426 Argentina	+54 11 4774-6535	http://www.lafachada.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
