name	cuisines	rank	nreviews	address	phone	website	score	food	service	value
Kentucky	Apto para vegetarianos	#332 de 5.004 restaurantes en Buenos Aires	1.021 opiniones	Avenida Corrientes 956 Frente al Obelisco, Buenos Aires C1043AAJ Argentina	+54 11 4328-1928	http://www.kentucky.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Pizzeria Genova	Almuerzo, Cena, Abierto hasta tarde	#350 de 5.004 restaurantes en Buenos Aires	247 opiniones	Avenida Corrientes 872, Buenos Aires C1043AAV Argentina	+54 11 6079-5763	http://www.facebook.com/pages/Genova-Pizzeria-Av-Corrientes/523082674421747	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Cafe Ditali	Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde	#355 de 5.004 restaurantes en Buenos Aires	298 opiniones	Paraguay 701 Intersection with Paraguay street, Buenos Aires Argentina	+54 11 4311-1972		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
180 Burger Bar	Almuerzo, Cena	#362 de 5.004 restaurantes en Buenos Aires	105 opiniones	Suipacha 749, Ciudad Autonoma de Buenos Aires, Buenos Aires Argentina	43287189	https://www.facebook.com/180burgerbar	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
Club Eros	Almuerzo, Cena, Abierto hasta tarde	#382 de 5.004 restaurantes en Buenos Aires	271 opiniones	Uriarte 1609 Palermo Soho, Buenos Aires Argentina	+54 11 4832-1313		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Nuestra Parrilla	Almuerzo, Cena	#402 de 5.004 restaurantes en Buenos Aires	102 opiniones	Carlos Calvo 471 San Telmo, Buenos Aires Argentina	+54 11 4832-1313	http://www.facebook.com/NuestraParrilla	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
La Cresta	Apto para vegetarianos	#405 de 5.004 restaurantes en Buenos Aires	149 opiniones	Bulnes 829 Almagro, Buenos Aires Argentina	+54 11 4977-3731	https://www.facebook.com/LaCrestaBuenosAires	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
El Buen Libro	Apto para vegetarianos	#413 de 5.004 restaurantes en Buenos Aires	65 opiniones	Reconquista 631, Buenos Aires 1004 Argentina	+54 11 4977-3731	https://www.facebook.com/El-Buen-Libro-Oficial--724463247650576	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
El Bodegon de Villa Luro	Almuerzo, Cena, Abierto hasta tarde	#435 de 5.004 restaurantes en Buenos Aires	140 opiniones	Rivadavia, Av. 9800, Buenos Aires Argentina	4683-1359		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
La Fabrica Del Taco	Mexicana, Latina	#463 de 5.004 restaurantes en Buenos Aires	596 opiniones	Calle Jose Ignacio Gorriti 5062, Buenos Aires C1414BJR Argentina	+54 11 4838-0815	http://lafabricadeltaco.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35
Bellagamba	Almuerzo, Cena, Abierto hasta tarde, Bebidas	#465 de 5.004 restaurantes en Buenos Aires	301 opiniones	Avenida Rivadavia 2134, Buenos Aires C1034ACN Argentina	+49 5158 33		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_45
Extrawurst Bratwurst Argentina	Almuerzo, Cena	#482 de 5.004 restaurantes en Buenos Aires	79 opiniones	Solís 1699, Buenos Aires C1134ADI Argentina	+54 11 6755-6575	http://www.bratwurst-argentina.com/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
The Market Burger	Estadounidense, Comida rápida	#485 de 5.004 restaurantes en Buenos Aires	72 opiniones	Calle Carlos Calvo 455 Locales 19 & 20, Buenos Aires C1102AAI Argentina	+54 9 11 3933-5151	http://www.facebook.com/themarketburger/?fref=ts	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Burger Mood	Apto para vegetarianos	#486 de 5.004 restaurantes en Buenos Aires	88 opiniones	Calle Viamonte 359 Microcentro, Buenos Aires C1053ABG Argentina	+54 11 4516-0221	http://www.burgermood.com.ar/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Desarmadero Bar	Bar, Pub, Argentina, Sudamericana	#489 de 5.004 restaurantes en Buenos Aires	106 opiniones	Calle Jose Ignacio Gorriti 4295, Buenos Aires C1414BJA Argentina	+54 11 4516-0221	https://www.facebook.com/desarmaderobar/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Heisenburger Lab	Almuerzo, Cena	#490 de 5.004 restaurantes en Buenos Aires	382 opiniones	Calle Jose Ignacio Gorriti 5054, Buenos Aires C1414BJR Argentina	48319156	https://www.facebook.com/heisenburgersoho	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Latino Sandwich	Apto para vegetarianos	#497 de 5.004 restaurantes en Buenos Aires	96 opiniones	Tacuari 185, Buenos Aires Argentina	4331-0022/0859	http://www.latinosandwich.com/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Cafe Blue's	Café	#505 de 5.004 restaurantes en Buenos Aires	60 opiniones	Arenales 2932 Entre Agüero y Austria, Buenos Aires 1624 Argentina	+54 11 2088-6497	https://www.facebook.com/Cafe-Blues-1246151042096959/about/?entry_point=page_nav_about_item	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
Surry Hills Coffee	Opciones veganas	#37 de 438 casas de café y té en Buenos Aires	28 opiniones	Calle Jorge Luis Borges 1842, Buenos Aires C1414DGF Argentina	+54 11 2088-6497	https://www.facebook.com/surryhillscoffee/	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50
El Boliche de Nico	Almuerzo, Cena	#543 de 5.004 restaurantes en Buenos Aires	156 opiniones	Avenida de Los Incas 4287 Esquina Mariano Acha, Buenos Aires C1427DNH Argentina	+54 11 4554-7018	http://elbolichedenico.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
Don Niceto	Almuerzo, Cena	#546 de 5.004 restaurantes en Buenos Aires	67 opiniones	Avenida Coronel Niceto Vega 5255, Buenos Aires Argentina	+54 11 4777-8534		ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_50
Trade Skybar	Bar, Contemporánea, Pub, Bar de vinos	#572 de 5.004 restaurantes en Buenos Aires	111 opiniones	Avenida Corrientes 222 Piso 19 Edificio Comega, Buenos Aires C1043AAP Argentina	+54 11 4777-8534	http://www.tradeskybar.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35
Camping	Apto para vegetarianos	#592 de 5.004 restaurantes en Buenos Aires	134 opiniones	Avenue Pueyrredon 2501, Buenos Aires 1114 Argentina	+54 11 4777-8534	http://www.campingba.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Parrilla Don Hugo	Almuerzo, Cena, Bebidas	#614 de 5.004 restaurantes en Buenos Aires	96 opiniones	Calle Virrey Loreto 3499, Buenos Aires C1426DYM Argentina	+54 11 4554-4329		ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
La Cocina de Batata's	Almuerzo, Cena	#627 de 5.004 restaurantes en Buenos Aires	47 opiniones	Av Gaona 4438, Buenos Aires C1407FIT Argentina	4636-3432		ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
Pirilo Pizzeria	Pizzería, Argentina, Sudamericana	#649 de 5.004 restaurantes en Buenos Aires	147 opiniones	Defensa 821 San Telmo, Buenos Aires Argentina	+54 11 4307-0248	http://pizzatradicional.blogspot.com.ar/p/pirilo.html	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Kentucky	Almuerzo, Cena, Abierto hasta tarde	#650 de 5.004 restaurantes en Buenos Aires	303 opiniones	Avenida Corrientes 1502, Buenos Aires C1042AAO Argentina	4781-5720	http://www.pizzeriaskentucky.com/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Green Crow	Cervecería, Argentina, Bar, Comida rápida, Mediterránea, Española, Pub, Sudamericana	#656 de 5.004 restaurantes en Buenos Aires	54 opiniones	Mexico 345, Buenos Aires C1097 Argentina	+54 11 5412-6569	http://www.facebook.com/greencrowbar/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_50	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
Kentucky Pizzeria Bar	Almuerzo, Cena, Abierto hasta tarde	#667 de 5.004 restaurantes en Buenos Aires	1.042 opiniones	Av. Santa Fé 4602, Buenos Aires C1425BHV Argentina	+54 11 4862-5377	http://www.pizzeriaskentucky.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
El Barrilete Pizza	Apto para vegetarianos	#674 de 5.004 restaurantes en Buenos Aires	42 opiniones	Avenida Carabobo 162, Buenos Aires C1406DGO Argentina	+54 11 4633-3894		ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40
Buona Giunta Trattoria	Argentina, Italiana, Bar, Pizzería, Española	#680 de 5.004 restaurantes en Buenos Aires	80 opiniones	Calle Tucuman 581, Buenos Aires C1049AAK Argentina	+54 11 4313-1300		ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
Alimentari	Apto para vegetarianos, Opciones veganas	#682 de 5.004 restaurantes en Buenos Aires	96 opiniones	San Martin 899 Planta Baja, Buenos Aires Argentina	+54 11 4313-1300	http://www.alimentari.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Guimpi V	Almuerzo, Cena	#686 de 5.004 restaurantes en Buenos Aires	79 opiniones	Calle Republica Arabe Siria 3004, Buenos Aires C1425EYL Argentina	+54 11 4806-1617	http://www.facebook.com/pizzeriaguimpiv/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
Ugi's Pizza	Cena, Abierto hasta tarde	#694 de 5.004 restaurantes en Buenos Aires	128 opiniones	Av Rivadavia 11704 Barrio de Liniers, Buenos Aires 1702 Argentina	114672596		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_45
Santa Maria	Apto para vegetarianos	#704 de 5.004 restaurantes en Buenos Aires	120 opiniones	Avenida Corrientes 6801, Buenos Aires C1427BPG Argentina	+54 11 4552-3779	http://www.pizzeria-santamaria.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
Rapa Nui - Devoto	Opciones sin gluten	#61 de 253 postres en Buenos Aires	60 opiniones	Avenida Lincoln 4218, Buenos Aires C1419IFU Argentina	+54 810-888-7272	http://www.rapanuibuenosaires.com.ar/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35
El Litoral	Almuerzo, Cena	#719 de 5.004 restaurantes en Buenos Aires	47 opiniones	Pasco 300, Buenos Aires Argentina	49532438		ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
Faraday Bar	Gastropub, Bar	#720 de 5.004 restaurantes en Buenos Aires	40 opiniones	Bulnes 2022, Buenos Aires C1425DKJ Argentina	+54 11 4822-1673	http://www.facebook.com/FaradayBA/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
Cachita	Bar, Comida rápida, Pub	#729 de 5.004 restaurantes en Buenos Aires	38 opiniones	Moldes 3102 Esquina Ibera, Buenos Aires 1428 Argentina	+54 11 4543-1400	http://www.cachita.com.ar/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
Jobs Bar	Abierto hasta tarde, Bebidas	#762 de 5.004 restaurantes en Buenos Aires	167 opiniones	2932 Arenales, Buenos Aires 1425 Argentina	4822 9391	http://www.jobsbar.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_30	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Williamsburg Burger Bar - Armenia	Estadounidense, Comida rápida, Parrilla, Saludable, Restaurantes cerveceros	#769 de 5.004 restaurantes en Buenos Aires	409 opiniones	Calle Armenia 1532, Buenos Aires C1414DKH Argentina	+54 9 11 2443-0154	http://www.williamsburgba.com/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
French Cookie	Francesa, Estadounidense, Argentina	#771 de 5.004 restaurantes en Buenos Aires	21 opiniones	Calle Honduras 5760, Buenos Aires C1414BNH Argentina	+54 9 11 3259-7650	http://www.frenchcookie.com.ar/	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50
Madigan	Bar, Comida rápida, Pub, Argentina, Estadounidense, Pizzería, Sudamericana	#776 de 5.004 restaurantes en Buenos Aires	35 opiniones	Calle Honduras 5015 Plaza Serrano, Buenos Aires C1414BMQ Argentina	+54 11 4832-0268	http://www.madiganbar.com/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
Burger King Bsas	Desayuno, Almuerzo, Cena, Abierto hasta tarde	#777 de 5.004 restaurantes en Buenos Aires	347 opiniones	Calle Florida esquina corrientes, Buenos Aires Argentina	+54 810-122-5464	http://www.burgerking.com.ar/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
El Nuevo Castels	Almuerzo, Cena, Abierto hasta tarde	#785 de 5.004 restaurantes en Buenos Aires	91 opiniones	Avenida Entre Rios 946, Buenos Aires C1080ABQ Argentina	+54 11 4305-1907	http://www.guiaoleo.com.ar/restaurantes/El-nuevo-Castel-12154	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
Los Orientales	Almuerzo, Cena	#787 de 5.004 restaurantes en Buenos Aires	104 opiniones	Avenida Rivadavia 3981, Buenos Aires C1204AAE Argentina	4983-1202	http://antigourmet.com.ar/los-orientales	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Virrey Cocina Urbana	Cervecería, Comida de calle, Argentina, Estadounidense, Bar, Comida rápida, Española, Pub, Sudamericana	#792 de 5.004 restaurantes en Buenos Aires	33 opiniones	Calle Carlos Calvo 242, Buenos Aires C1102AAF Argentina	+54 11 4300-2922	http://virrey.com.ar/	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50	ui_bubble_rating bubble_45	ui_bubble_rating bubble_50
La Esquina Del Antigourmet	Cena	#805 de 5.004 restaurantes en Buenos Aires	29 opiniones	Calle Soler 5901 Esq con Dr. Emilio Ravignani, Buenos Aires C1425BYM Argentina	+54 11 4300-2922	https://antigourmet.com.ar/lugar/la-esquina-del-antigourmet/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
Fabrica De Churros	Comida para llevar	#810 de 5.004 restaurantes en Buenos Aires	35 opiniones	Calle Olleros 4167, Buenos Aires C1427EEM Argentina	+54 11 4553-2669		ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Bulls BBQ Smoke House	Bar, Parrillada, Parrilla, Estadounidense, Argentina	#820 de 5.004 restaurantes en Buenos Aires	81 opiniones	Costa Rica 4767 Caba, Buenos Aires C1414BSK Argentina	+54 11 4834-6505	http://www.facebook.com/bullsbbq4767/timeline	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
Bellagamba Bodegón	Apto para vegetarianos	#822 de 5.004 restaurantes en Buenos Aires	154 opiniones	Calle Armenia 1242, Buenos Aires C1414DKB Argentina	4775-9997	https://www.facebook.com/pages/Bellagamba-Bodeg%C3%B3n/546152665445413	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30	ui_bubble_rating bubble_40
Raclette Grilled Cheese & Coffee House	Apto para vegetarianos	#827 de 5.004 restaurantes en Buenos Aires	24 opiniones	Calle Arenales 939 Entre Carlos Pellegrini y Suipacha, Buenos Aires 1061 Argentina	+54 11 4393-9951		ui_bubble_rating bubble_50	ui_bubble_rating bubble_45	ui_bubble_rating bubble_50	ui_bubble_rating bubble_45
Costumbres Criollas	Desayuno, Almuerzo, Cena	#828 de 5.004 restaurantes en Buenos Aires	92 opiniones	Calle Libertador, 308 Retiro, Buenos Aires Argentina	+54 11 4393-3202	http://www.costumbrecriollacf.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
La Catedral del Tango	Opciones veganas	#829 de 5.004 restaurantes en Buenos Aires	164 opiniones	Sarmiento 4006, Buenos Aires Argentina	+54 11 4393-3202	http://www.lacatedralclub.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_30	ui_bubble_rating bubble_30	ui_bubble_rating bubble_40
Hops	Apto para vegetarianos	#834 de 5.004 restaurantes en Buenos Aires	48 opiniones	Calle Pedro Del Castillo 422, Buenos Aires C1414AWJ Argentina	+54 11 4393-3202	https://www.facebook.com/hopscerveza	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Churros El Topo	Comida para llevar	#860 de 5.004 restaurantes en Buenos Aires	43 opiniones	Virrey del Pino 2617 Belgrano, Buenos Aires Argentina	47862188	http://churreriaeltopo.com.ar/sucursales-delivery/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Konu Bar	Apto para vegetarianos, Opciones veganas	#872 de 5.004 restaurantes en Buenos Aires	70 opiniones	Teniente General Juan Domingo Peron 1319, Buenos Aires Argentina	+54 11 4373-4976		ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
Gran Pizzeria Los Talentos	Almuerzo, Cena, Abierto hasta tarde	#902 de 5.004 restaurantes en Buenos Aires	120 opiniones	Defensa 902, Buenos Aires Argentina	4307-2952	http://pizzerialostalentos.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Tiendas Naturales – Puerto Madero	Internacional, Saludable	#904 de 5.004 restaurantes en Buenos Aires	27 opiniones	Olga Cossettini 733, Buenos Aires 1107 Argentina	+54 11 4843-7407	https://www.facebook.com/TiendasNaturales/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40
Mostaza	Almuerzo, Cena	#911 de 5.004 restaurantes en Buenos Aires	245 opiniones	Olga Cossettini 803, Buenos Aires Argentina	+54 11 4843-7407	http://www.mostazaweb.com.ar/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
Gringo-Pancheria	Almuerzo	#916 de 5.004 restaurantes en Buenos Aires	50 opiniones	Calle Lavalle 695, Buenos Aires C1047AAM Argentina	+54 11 4843-7407	https://www.facebook.com/pages/G-R-I-N-G-O-Pancher%C3%ADa/220115531368745	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
La Piedad	Almuerzo	#926 de 5.004 restaurantes en Buenos Aires	51 opiniones	Florida 31, Buenos Aires Argentina	+54 11 4331-1993		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
Na Serapia	Almuerzo, Cena	#932 de 5.004 restaurantes en Buenos Aires	113 opiniones	3357 Avenida La Heras, Buenos Aires Argentina	+54 11 4801-5307		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
A Gusto Y Piacere	Almuerzo	#946 de 5.004 restaurantes en Buenos Aires	35 opiniones	Tucuman 463, Buenos Aires C1084AAQ Argentina	+54 11 4801-5307	http://www.facebook.com/pages/A-Gusto-y-Piacere/495311003855364	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
La Vitola Pizzeria y Cafeteria	Cena	#959 de 5.004 restaurantes en Buenos Aires	68 opiniones	Maipu 607 Esquina Tucuman, Buenos Aires Argentina	43284882		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
